Parameter,PyTorch Wallclock Mean (s),PyTorch Wallclock Std (s),PyTorch Logged Mean (s),PyTorch Logged Std (s),PyTorch Python Overhead (%),Full JAX Wallclock Mean (s),Full JAX Wallclock Std (s),Full JAX Logged Mean (s),Full JAX Logged Std (s),Full JAX Python Overhead (%),Speedup (Wallclock),Speedup (Logged)
2,314.44027593066664,46.84230994162287,276.17469731966656,36.004066622440064,12.169426609788864,86.787949458,1.2461547145344523,2.237332582473755,0.03972949398528396,97.42207000344388,3.623086821320007,123.43926847670902
3,578.3855129579999,11.818592292000005,434.97552955150604,6.269477009773254,24.794878189991554,92.657913639,1.3525993709979687,2.329773187637329,0.08659836311879522,97.48561877109142,6.242159900247913,186.70295111114385
4,6598.842961354,3593.008233854,449.7255039215088,32.2934844493866,93.18478244511473,111.49790209733332,0.19309539323936764,2.321950356165568,0.025027379028130695,97.91749412994461,59.18356163861691,193.68437517509133
