Parameter,PyTorch Wallclock Mean (s),PyTorch Wallclock Std (s),PyTorch Logged Mean (s),PyTorch Logged Std (s),PyTorch Python Overhead (%),Full JAX Wallclock Mean (s),Full JAX Wallclock Std (s),Full JAX Logged Mean (s),Full JAX Logged Std (s),Full JAX Python Overhead (%),Speedup (Wallclock),Speedup (Logged)
16,327.382787361,27.634522271558193,293.2727861404419,25.86625147333541,10.418996519491884,87.202273417,0.5750145801558825,2.2830593585968018,0.024301245616314214,97.3818809199168,3.7542918840597226,128.45604957056008
32,602.7613836526666,38.313404603639114,537.3273822466532,36.43191254076422,10.855705620935879,114.35166376400001,0.74495268943808,2.3580642541249595,0.013945932318426606,97.93788373819243,5.271120365127795,227.8679986377415
64,1241.0986770136667,31.779252393814023,961.3123069604238,29.015755872464247,22.54344277656191,174.32164706933335,0.45005972830604746,2.500215450922648,0.02862928952764713,98.56574585373885,7.119590124799829,384.4917871400536
