Parameter,PyTorch Wallclock (s),PyTorch Logged (s),PyTorch Python Overhead (%),Full JAX Wallclock (s),Full JAX Logged (s),Full JAX Python Overhead (%),Speedup (Wallclock),Speedup (Logged)
2,326.5085486666667,278.68473172187805,14.647033635132193,39.20717659766667,0.8337682088216146,97.8734296086211,8.327775091208638,334.2472509425013
4,358.6835593196667,310.5012084643046,13.433108265890967,64.04057343033334,0.9672311147054037,98.4896588789018,5.600879881406142,321.0206989245545
8,399.3757925,350.7804497877757,12.167823795235234,112.72877081966668,1.1459736824035645,98.98342395284627,3.5428026899972624,306.09817238738765
