Parameter,PyTorch Wallclock Mean (s),PyTorch Wallclock Std (s),PyTorch Logged Mean (s),PyTorch Logged Std (s),PyTorch Python Overhead (%),Full JAX Wallclock Mean (s),Full JAX Wallclock Std (s),Full JAX Logged Mean (s),Full JAX Logged Std (s),Full JAX Python Overhead (%),Speedup (Wallclock),Speedup (Logged)
2,326.5085486666667,2.545394447561236,278.68473172187805,2.4152805646711326,14.647033635132193,82.107261528,2.9996039480826533,2.1312727133433023,0.09350336280817133,97.4042823086768,3.976609895280963,130.7597708998529
4,358.6835593196667,7.082682818776143,310.5012084643046,6.341897128541333,13.433108265890967,109.85115694433334,6.888290788379958,2.838367780049642,0.14418936743984073,97.41616942506307,3.2651778032836583,109.39428309705308
8,399.3757925,4.818671267544448,350.7804497877757,4.477800470925877,12.167823795235234,161.468903028,6.354780102577578,4.223665634791057,0.13538514545506863,97.38422349097236,2.4733913776000884,83.05118826129065
