Parameter,Full JAX Mean,Full JAX Std,PyTorch Mean,PyTorch Std,Speedup (PyTorch/JAX)
64,25.311193735999996,0.4955516580140563,311.9594581806667,15.745223331970577,12.324960309436854
128,38.580244875,0.39853801483097684,334.8488888613333,15.052122092099447,8.679283657899107
256,70.522732903,0.5288952868172581,377.4668104446667,24.590966729096436,5.352413256075183
