Parameter,PyTorch Wallclock (s),PyTorch Logged (s),PyTorch Python Overhead (%),Full JAX Wallclock (s),Full JAX Logged (s),Full JAX Python Overhead (%),Speedup (Wallclock),Speedup (Logged)
64,311.9594581806667,264.99529536565143,15.054572504038857,25.311193735999996,0.7331098715464274,97.10361400101122,12.324960309436854,361.4673675129601
128,334.8488888613333,286.54380599657696,14.425934943078254,38.580244875,0.7701285680135092,98.00382664623118,8.679283657899107,372.07268746788077
256,377.4668104446667,327.98263080914813,13.109544539088027,70.522732903,0.7411682605743408,98.94903638860141,5.352413256075183,442.5211497251517
