Parameter,PyTorch Wallclock (s),PyTorch Logged (s),Full JAX Wallclock (s),Full JAX Logged (s),Speedup (Wallclock),Speedup (Logged)
64,311.9594581806667,264.99529536565143,25.311193735999996,0.7331098715464274,12.324960309436854,361.4673675129601
128,334.8488888613333,286.54380599657696,38.580244875,0.7701285680135092,8.679283657899107,372.07268746788077
256,377.4668104446667,327.98263080914813,70.522732903,0.7411682605743408,5.352413256075183,442.5211497251517
