Parameter,Full JAX Mean (s),Full JAX Std (s),PyTorch Mean (s),PyTorch Std (s),Speedup (PyTorch/JAX)
64,0.7331098715464274,0.01118446384574819,264.99529536565143,14.444973999110996,361.4673675129601
128,0.7701285680135092,0.01833782959966946,286.54380599657696,13.495508451162138,372.07268746788077
256,0.7411682605743408,0.0069493388656460126,327.98263080914813,22.371302010874494,442.5211497251517
