Parameter,jax Mean,jax Std,legacy Mean,legacy Std
2,23.476206064224243,1.4068763256072998,113.08799751599629,14.087723402991658
3,32.470372915267944,2.2914042472839355,160.54346430301666,0.609023928642273
4,44.377251435279845,3.2468958535194403,159.77343571186066,10.85557496547699
